id,constituency,state,party,first_votes,second_votes
119,Essen II,Nordrhein-Westfalen,linke,4325,4525
120,Essen III,Nordrhein-Westfalen,linke,5030,6097
121,Recklinghausen I,Nordrhein-Westfalen,linke,3606,4238
122,Recklinghausen II,Nordrhein-Westfalen,linke,3881,4084
123,Gelsenkirchen,Nordrhein-Westfalen,linke,3559,3853
124,Steinfurt I – Borken I,Nordrhein-Westfalen,linke,3699,4469
125,Bottrop – Recklinghausen III,Nordrhein-Westfalen,linke,3889,4482
126,Borken II,Nordrhein-Westfalen,linke,3927,3914
127,Coesfeld – Steinfurt II,Nordrhein-Westfalen,linke,4242,4093
128,Steinfurt III,Nordrhein-Westfalen,linke,4611,4723
129,Münster,Nordrhein-Westfalen,linke,7078,9746
130,Warendorf,Nordrhein-Westfalen,linke,4075,4525
131,Gütersloh I,Nordrhein-Westfalen,linke,4286,5172
132,Bielefeld – Gütersloh II,Nordrhein-Westfalen,linke,9892,11448
133,Herford – Minden-Lübbecke II,Nordrhein-Westfalen,linke,5333,6038
134,Minden-Lübbecke I,Nordrhein-Westfalen,linke,3933,4858
135,Lippe I,Nordrhein-Westfalen,linke,5276,6408
136,Höxter – Lippe II,Nordrhein-Westfalen,linke,3345,3762
137,Paderborn – Gütersloh III,Nordrhein-Westfalen,linke,5532,5858
138,Hagen – Ennepe-Ruhr-Kreis I,Nordrhein-Westfalen,linke,4551,4853
139,Ennepe-Ruhr-Kreis II,Nordrhein-Westfalen,linke,3715,5029
140,Bochum I,Nordrhein-Westfalen,linke,9361,8221
141,Herne – Bochum II,Nordrhein-Westfalen,linke,4662,5035
142,Dortmund I,Nordrhein-Westfalen,linke,5908,7566
143,Dortmund II,Nordrhein-Westfalen,linke,5823,6361
144,Unna I,Nordrhein-Westfalen,linke,4731,5154
145,Hamm – Unna II,Nordrhein-Westfalen,linke,6284,5694
146,Soest,Nordrhein-Westfalen,linke,5549,5521
147,Hochsauerlandkreis,Nordrhein-Westfalen,linke,2685,3990
148,Siegen-Wittgenstein,Nordrhein-Westfalen,linke,4902,5732
149,Olpe – Märkischer Kreis I,Nordrhein-Westfalen,linke,3935,4150
150,Märkischer Kreis II,Nordrhein-Westfalen,linke,4667,4804
151,Nordsachsen,Sachsen,linke,9448,8868
152,Leipzig I,Sachsen,linke,25436,20882
153,Leipzig II,Sachsen,linke,40927,26460
154,Leipzig-Land,Sachsen,linke,12670,12357
155,Meißen,Sachsen,linke,10344,10725
156,Bautzen I,Sachsen,linke,14144,12282
157,Görlitz,Sachsen,linke,11837,11327
158,Sächsische Schweiz-Osterzgebirge,Sachsen,linke,15216,11652
159,Dresden I,Sachsen,linke,33871,18909
160,Dresden II – Bautzen II,Sachsen,linke,22156,20910
161,Mittelsachsen,Sachsen,linke,12162,11687
162,Chemnitz,Sachsen,linke,15229,15008
163,Chemnitzer Umland – Erzgebirgskreis II,Sachsen,linke,11330,11166
164,Erzgebirgskreis I,Sachsen,linke,12787,12078
165,Zwickau,Sachsen,linke,22585,13625
166,Vogtlandkreis,Sachsen,linke,12655,12057
167,Waldeck,Hessen,linke,4208,4441
168,Kassel,Hessen,linke,9360,10512
169,Werra-Meißner – Hersfeld-Rotenburg,Hessen,linke,3890,4527
170,Schwalm-Eder,Hessen,linke,3759,4411
171,Marburg,Hessen,linke,6587,8089
172,Lahn-Dill,Hessen,linke,4756,5101
173,Gießen,Hessen,linke,6322,8007
174,Fulda,Hessen,linke,4649,4447
175,Main-Kinzig – Wetterau II – Schotten,Hessen,linke,4082,4313
176,Hochtaunus,Hessen,linke,3759,4441
177,Wetterau I,Hessen,linke,3904,4905
178,Rheingau-Taunus – Limburg,Hessen,linke,4563,5394
179,Wiesbaden,Hessen,linke,6653,7130
180,Hanau,Hessen,linke,4463,4932
181,Main-Taunus,Hessen,linke,4267,4702
182,Frankfurt am Main I,Hessen,linke,12562,10384
183,Frankfurt am Main II,Hessen,linke,10629,11902
184,Groß-Gerau,Hessen,linke,5047,5394
185,Offenbach,Hessen,linke,7497,7818
186,Darmstadt,Hessen,linke,9332,10764
187,Odenwald,Hessen,linke,5991,6329
188,Bergstraße,Hessen,linke,4150,4630
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,Thüringen,linke,16584,15165
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Thüringen,linke,17214,15867
191,Jena – Sömmerda – Weimarer Land I,Thüringen,linke,25741,19504
192,Gotha – Ilm-Kreis,Thüringen,linke,15576,15452
193,Erfurt – Weimar – Weimarer Land II,Thüringen,linke,26985,23054
194,Gera – Greiz – Altenburger Land,Thüringen,linke,19414,18666
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Thüringen,linke,19966,18493
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Thüringen,linke,14137,18475
197,Neuwied,Rheinland-Pfalz,linke,5007,5416
198,Ahrweiler,Rheinland-Pfalz,linke,3537,3851
199,Koblenz,Rheinland-Pfalz,linke,4054,4799
200,Mosel/Rhein-Hunsrück,Rheinland-Pfalz,linke,,3738
201,Kreuznach,Rheinland-Pfalz,linke,4294,4454
202,Bitburg,Rheinland-Pfalz,linke,2854,3268
203,Trier,Rheinland-Pfalz,linke,5129,5708
204,Montabaur,Rheinland-Pfalz,linke,4418,4642
205,Mainz,Rheinland-Pfalz,linke,24887,9419
206,Worms,Rheinland-Pfalz,linke,5070,5068
207,Ludwigshafen/Frankenthal,Rheinland-Pfalz,linke,4648,4651
208,Neustadt – Speyer,Rheinland-Pfalz,linke,4535,4880
209,Kaiserslautern,Rheinland-Pfalz,linke,6763,6383
210,Pirmasens,Rheinland-Pfalz,linke,3670,4199
211,Südpfalz,Rheinland-Pfalz,linke,5224,5598
212,Altötting,Bayern,linke,3155,2768
213,Erding – Ebersberg,Bayern,linke,3355,3648
214,Freising,Bayern,linke,3898,4456
215,Fürstenfeldbruck,Bayern,linke,3216,4192
216,Ingolstadt,Bayern,linke,4648,4450
217,München-Nord,Bayern,linke,6207,7035
218,München-Ost,Bayern,linke,4906,7080
219,München-Süd,Bayern,linke,6236,7670
220,München-West/Mitte,Bayern,linke,6976,8219
221,München-Land,Bayern,linke,3684,4449
222,Rosenheim,Bayern,linke,4092,4609
223,Bad Tölz-Wolfratshausen – Miesbach,Bayern,linke,2643,3051
224,Starnberg – Landsberg am Lech,Bayern,linke,3694,4441
225,Traunstein,Bayern,linke,3537,3943
226,Weilheim,Bayern,linke,2718,3124
227,Deggendorf,Bayern,linke,1894,2303
228,Landshut,Bayern,linke,3955,4186
229,Passau,Bayern,linke,2682,3093
230,Rottal-Inn,Bayern,linke,1913,2489
231,Straubing,Bayern,linke,1935,2467
232,Amberg,Bayern,linke,4158,4095
233,Regensburg,Bayern,linke,6021,6798
234,Schwandorf,Bayern,linke,3043,3391
235,Weiden,Bayern,linke,2325,2828
236,Bamberg,Bayern,linke,3625,4677
237,Bayreuth,Bayern,linke,2579,3306
238,Coburg,Bayern,linke,2337,3119
239,Hof,Bayern,linke,2651,3004
240,Kulmbach,Bayern,linke,2448,2982
241,Ansbach,Bayern,linke,3794,4900
242,Erlangen,Bayern,linke,,5787
243,Fürth,Bayern,linke,6223,6946
244,Nürnberg-Nord,Bayern,linke,7726,8627
245,Nürnberg-Süd,Bayern,linke,5178,4890
246,Roth,Bayern,linke,5077,4952
247,Aschaffenburg,Bayern,linke,3536,4068
248,Bad Kissingen,Bayern,linke,4476,4820
249,Main-Spessart,Bayern,linke,4069,3684
250,Schweinfurt,Bayern,linke,6552,4928
251,Würzburg,Bayern,linke,7522,7029
252,Augsburg-Stadt,Bayern,linke,7167,6952
253,Augsburg-Land,Bayern,linke,3573,4176
254,Donau-Ries,Bayern,linke,3049,2868
255,Neu-Ulm,Bayern,linke,3467,4410
256,Oberallgäu,Bayern,linke,4911,5046
257,Ostallgäu,Bayern,linke,6667,5007
258,Stuttgart I,Baden-Württemberg,linke,6447,8127
259,Stuttgart II,Baden-Württemberg,linke,6294,6737
260,Böblingen,Baden-Württemberg,linke,4548,5141
261,Esslingen,Baden-Württemberg,linke,3477,4063
262,Nürtingen,Baden-Württemberg,linke,3967,4353
263,Göppingen,Baden-Württemberg,linke,2958,3338
264,Waiblingen,Baden-Württemberg,linke,4464,5001
265,Ludwigsburg,Baden-Württemberg,linke,4882,5276
266,Neckar-Zaber,Baden-Württemberg,linke,4342,4850
267,Heilbronn,Baden-Württemberg,linke,4237,5137
268,Schwäbisch Hall – Hohenlohe,Baden-Württemberg,linke,4090,4980
269,Backnang – Schwäbisch Gmünd,Baden-Württemberg,linke,3982,3980
270,Aalen – Heidenheim,Baden-Württemberg,linke,3898,4530
271,Karlsruhe-Stadt,Baden-Württemberg,linke,7957,8910
272,Karlsruhe-Land,Baden-Württemberg,linke,4040,4483
273,Rastatt,Baden-Württemberg,linke,4212,4280
274,Heidelberg,Baden-Württemberg,linke,6987,8624
275,Mannheim,Baden-Württemberg,linke,6825,7066
276,Odenwald – Tauber,Baden-Württemberg,linke,3722,4084
277,Rhein-Neckar,Baden-Württemberg,linke,3989,4298
278,Bruchsal – Schwetzingen,Baden-Württemberg,linke,3854,4125
279,Pforzheim,Baden-Württemberg,linke,3772,4342
280,Calw,Baden-Württemberg,linke,2998,3656
281,Freiburg,Baden-Württemberg,linke,9604,12429
282,Lörrach – Müllheim,Baden-Württemberg,linke,4580,5532
283,Emmendingen – Lahr,Baden-Württemberg,linke,4917,5205
284,Offenburg,Baden-Württemberg,linke,4253,4423
285,Rottweil – Tuttlingen,Baden-Württemberg,linke,3176,3319
286,Schwarzwald-Baar,Baden-Württemberg,linke,2757,3062
287,Konstanz,Baden-Württemberg,linke,5591,5804
288,Waldshut,Baden-Württemberg,linke,3593,3884
289,Reutlingen,Baden-Württemberg,linke,6169,5081
290,Tübingen,Baden-Württemberg,linke,7525,8231
291,Ulm,Baden-Württemberg,linke,4602,5376
292,Biberach,Baden-Württemberg,linke,2060,2962
293,Bodensee,Baden-Württemberg,linke,3705,3905
294,Ravensburg,Baden-Württemberg,linke,4364,4735
295,Zollernalb – Sigmaringen,Baden-Württemberg,linke,2848,3540
296,Saarbrücken,Saarland,linke,8708,13481
297,Saarlouis,Saarland,linke,8405,10512
298,St. Wendel,Saarland,linke,5782,7883
299,Homburg,Saarland,linke,7313,9247
1,Flensburg – Schleswig,Schleswig-Holstein,other,19084,26375
2,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein,other,13379,16539
3,Steinburg – Dithmarschen Süd,Schleswig-Holstein,other,5397,11242
4,Rendsburg-Eckernförde,Schleswig-Holstein,other,12141,15419
5,Kiel,Schleswig-Holstein,other,11368,13619
6,Plön – Neumünster,Schleswig-Holstein,other,7313,10639
7,Pinneberg,Schleswig-Holstein,other,10221,12933
8,Segeberg – Stormarn-Mitte,Schleswig-Holstein,other,11351,15290
9,Ostholstein – Stormarn-Nord,Schleswig-Holstein,other,5003,9471
10,Herzogtum Lauenburg – Stormarn-Süd,Schleswig-Holstein,other,9142,12589
11,Lübeck,Schleswig-Holstein,other,6537,8536
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Mecklenburg-Vorpommern,other,9513,12009
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Mecklenburg-Vorpommern,other,8909,11198
14,Rostock – Landkreis Rostock II,Mecklenburg-Vorpommern,other,13021,14647
15,Vorpommern-Rügen – Vorpommern-Greifswald I,Mecklenburg-Vorpommern,other,12824,14696
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Mecklenburg-Vorpommern,other,12018,13486
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Mecklenburg-Vorpommern,other,4709,10698
18,Hamburg-Mitte,Hamburg,other,10120,14150
19,Hamburg-Altona,Hamburg,other,5680,9335
20,Hamburg-Eimsbüttel,Hamburg,other,7703,8923
21,Hamburg-Nord,Hamburg,other,5234,10400
22,Hamburg-Wandsbek,Hamburg,other,8157,12912
23,Hamburg-Bergedorf – Harburg,Hamburg,other,7736,12921
24,Aurich – Emden,Niedersachsen,other,10623,7453
25,Unterems,Niedersachsen,other,2024,7831
26,Friesland – Wilhelmshaven – Wittmund,Niedersachsen,other,6605,7980
27,Oldenburg – Ammerland,Niedersachsen,other,5541,9378
28,Delmenhorst – Wesermarsch – Oldenburg-Land,Niedersachsen,other,6773,9306
29,Cuxhaven – Stade II,Niedersachsen,other,8238,7995
30,Stade I – Rotenburg II,Niedersachsen,other,3783,8499
31,Mittelems,Niedersachsen,other,1363,6423
32,Cloppenburg – Vechta,Niedersachsen,other,1248,6140
33,Diepholz – Nienburg I,Niedersachsen,other,2836,7801
34,Osterholz – Verden,Niedersachsen,other,8459,8173
35,Rotenburg I – Heidekreis,Niedersachsen,other,2734,7023
36,Harburg,Niedersachsen,other,10276,10571
37,Lüchow-Dannenberg – Lüneburg,Niedersachsen,other,6476,8519
38,Osnabrück-Land,Niedersachsen,other,3311,6491
39,Stadt Osnabrück,Niedersachsen,other,2105,6824
40,Nienburg II – Schaumburg,Niedersachsen,other,6143,7808
41,Stadt Hannover I,Niedersachsen,other,6223,7582
42,Stadt Hannover II,Niedersachsen,other,8204,8941
43,Hannover-Land I,Niedersachsen,other,7664,9145
44,Celle – Uelzen,Niedersachsen,other,3453,8527
45,Gifhorn – Peine,Niedersachsen,other,7167,9752
46,Hameln-Pyrmont – Holzminden,Niedersachsen,other,3835,7140
47,Hannover-Land II,Niedersachsen,other,9100,10091
48,Hildesheim,Niedersachsen,other,5574,8403
49,Salzgitter – Wolfenbüttel,Niedersachsen,other,4820,8390
50,Braunschweig,Niedersachsen,other,5629,8947
51,Helmstedt – Wolfsburg,Niedersachsen,other,3347,7672
52,Goslar – Northeim – Osterode,Niedersachsen,other,3887,7404
53,Göttingen,Niedersachsen,other,4746,8534
54,Bremen I,Bremen,other,11478,11021
55,Bremen II – Bremerhaven,Bremen,other,8612,10374
56,Prignitz – Ostprignitz-Ruppin – Havelland I,Brandenburg,other,9930,10709
57,Uckermark – Barnim I,Brandenburg,other,10939,11997
58,Oberhavel – Havelland II,Brandenburg,other,19333,20590
59,Märkisch-Oderland – Barnim II,Brandenburg,other,12642,20809
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Brandenburg,other,14161,14889
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Brandenburg,other,14196,17789
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Brandenburg,other,23004,21377
63,Frankfurt (Oder) – Oder-Spree,Brandenburg,other,13498,15074
64,Cottbus – Spree-Neiße,Brandenburg,other,10661,12013
65,Elbe-Elster – Oberspreewald-Lausitz II,Brandenburg,other,14255,12861
66,Altmark,Sachsen-Anhalt,other,8665,9399
67,Börde – Jerichower Land,Sachsen-Anhalt,other,10944,12312
68,Harz,Sachsen-Anhalt,other,8402,11694
69,Magdeburg,Sachsen-Anhalt,other,16826,14742
70,Dessau – Wittenberg,Sachsen-Anhalt,other,6371,9189
71,Anhalt,Sachsen-Anhalt,other,7821,11141
72,Halle,Sachsen-Anhalt,other,8085,12097
73,Burgenland – Saalekreis,Sachsen-Anhalt,other,3761,10167
74,Mansfeld,Sachsen-Anhalt,other,6689,10307
75,Berlin-Mitte,Berlin,other,11337,13560
76,Berlin-Pankow,Berlin,other,15191,16945
77,Berlin-Reinickendorf,Berlin,other,12013,12965
78,Berlin-Spandau – Charlottenburg Nord,Berlin,other,9347,13350
79,Berlin-Steglitz-Zehlendorf,Berlin,other,10864,12040
80,Berlin-Charlottenburg-Wilmersdorf,Berlin,other,8701,9612
81,Berlin-Tempelhof-Schöneberg,Berlin,other,11835,14938
82,Berlin-Neukölln,Berlin,other,11652,13886
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Berlin,other,17225,14582
84,Berlin-Treptow-Köpenick,Berlin,other,12390,17005
85,Berlin-Marzahn-Hellersdorf,Berlin,other,10075,15465
86,Berlin-Lichtenberg,Berlin,other,14726,16747
87,Aachen I,Nordrhein-Westfalen,other,5941,8595
88,Aachen II,Nordrhein-Westfalen,other,6630,10361
89,Heinsberg,Nordrhein-Westfalen,other,8743,9915
90,Düren,Nordrhein-Westfalen,other,7671,10058
91,Rhein-Erft-Kreis I,Nordrhein-Westfalen,other,8085,12728
92,Euskirchen – Rhein-Erft-Kreis II,Nordrhein-Westfalen,other,9106,12126
93,Köln I,Nordrhein-Westfalen,other,8286,10281
94,Köln II,Nordrhein-Westfalen,other,10996,11306
95,Köln III,Nordrhein-Westfalen,other,8554,10985
96,Bonn,Nordrhein-Westfalen,other,9199,11399
97,Rhein-Sieg-Kreis I,Nordrhein-Westfalen,other,10316,13434
98,Rhein-Sieg-Kreis II,Nordrhein-Westfalen,other,8311,11175
99,Oberbergischer Kreis,Nordrhein-Westfalen,other,7980,12122
100,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,other,7463,11298
101,Leverkusen – Köln IV,Nordrhein-Westfalen,other,7107,11624
102,Wuppertal I,Nordrhein-Westfalen,other,7508,10942
103,Solingen – Remscheid – Wuppertal II,Nordrhein-Westfalen,other,8562,11457
104,Mettmann I,Nordrhein-Westfalen,other,5321,10433
105,Mettmann II,Nordrhein-Westfalen,other,5355,7892
106,Düsseldorf I,Nordrhein-Westfalen,other,7571,9791
107,Düsseldorf II,Nordrhein-Westfalen,other,7188,9829
108,Neuss I,Nordrhein-Westfalen,other,5789,10687
109,Mönchengladbach,Nordrhein-Westfalen,other,6667,8790
110,Krefeld I – Neuss II,Nordrhein-Westfalen,other,6819,9444
111,Viersen,Nordrhein-Westfalen,other,8012,10967
112,Kleve,Nordrhein-Westfalen,other,5301,9644
113,Wesel I,Nordrhein-Westfalen,other,7409,9647
114,Krefeld II – Wesel II,Nordrhein-Westfalen,other,5872,8495
115,Duisburg I,Nordrhein-Westfalen,other,4079,9232
116,Duisburg II,Nordrhein-Westfalen,other,3574,8609
117,Oberhausen – Wesel III,Nordrhein-Westfalen,other,9873,9982
118,Mülheim – Essen I,Nordrhein-Westfalen,other,8097,8758
119,Essen II,Nordrhein-Westfalen,other,5090,8458
120,Essen III,Nordrhein-Westfalen,other,6729,9106
121,Recklinghausen I,Nordrhein-Westfalen,other,4229,7861
122,Recklinghausen II,Nordrhein-Westfalen,other,3891,8759
123,Gelsenkirchen,Nordrhein-Westfalen,other,4751,8919
124,Steinfurt I – Borken I,Nordrhein-Westfalen,other,3910,7343
125,Bottrop – Recklinghausen III,Nordrhein-Westfalen,other,5493,9707
126,Borken II,Nordrhein-Westfalen,other,4445,7414
127,Coesfeld – Steinfurt II,Nordrhein-Westfalen,other,3438,7440
128,Steinfurt III,Nordrhein-Westfalen,other,5060,7363
129,Münster,Nordrhein-Westfalen,other,8642,9651
130,Warendorf,Nordrhein-Westfalen,other,5748,8687
131,Gütersloh I,Nordrhein-Westfalen,other,7605,10566
132,Bielefeld – Gütersloh II,Nordrhein-Westfalen,other,7712,12090
133,Herford – Minden-Lübbecke II,Nordrhein-Westfalen,other,8825,11130
134,Minden-Lübbecke I,Nordrhein-Westfalen,other,7907,10411
135,Lippe I,Nordrhein-Westfalen,other,8406,12029
136,Höxter – Lippe II,Nordrhein-Westfalen,other,5689,8069
137,Paderborn – Gütersloh III,Nordrhein-Westfalen,other,7201,10400
138,Hagen – Ennepe-Ruhr-Kreis I,Nordrhein-Westfalen,other,7335,9965
139,Ennepe-Ruhr-Kreis II,Nordrhein-Westfalen,other,7387,9122
140,Bochum I,Nordrhein-Westfalen,other,9564,9769
141,Herne – Bochum II,Nordrhein-Westfalen,other,5422,9182
142,Dortmund I,Nordrhein-Westfalen,other,20419,12231
143,Dortmund II,Nordrhein-Westfalen,other,9028,11066
144,Unna I,Nordrhein-Westfalen,other,4138,9561
145,Hamm – Unna II,Nordrhein-Westfalen,other,4149,10653
146,Soest,Nordrhein-Westfalen,other,4523,10250
147,Hochsauerlandkreis,Nordrhein-Westfalen,other,6514,9131
148,Siegen-Wittgenstein,Nordrhein-Westfalen,other,8350,11614
149,Olpe – Märkischer Kreis I,Nordrhein-Westfalen,other,4511,9224
150,Märkischer Kreis II,Nordrhein-Westfalen,other,7959,10114
151,Nordsachsen,Sachsen,other,10241,11153
152,Leipzig I,Sachsen,other,13368,16430
153,Leipzig II,Sachsen,other,12319,16253
154,Leipzig-Land,Sachsen,other,13409,15109
155,Meißen,Sachsen,other,14375,14887
156,Bautzen I,Sachsen,other,11849,15448
157,Görlitz,Sachsen,other,9387,15071
158,Sächsische Schweiz-Osterzgebirge,Sachsen,other,20189,16505
159,Dresden I,Sachsen,other,12083,17500
160,Dresden II – Bautzen II,Sachsen,other,20666,20279
161,Mittelsachsen,Sachsen,other,4655,14156
162,Chemnitz,Sachsen,other,8972,12696
163,Chemnitzer Umland – Erzgebirgskreis II,Sachsen,other,12382,14199
164,Erzgebirgskreis I,Sachsen,other,16022,17172
165,Zwickau,Sachsen,other,10700,15000
166,Vogtlandkreis,Sachsen,other,4767,12783
167,Waldeck,Hessen,other,6248,9180
168,Kassel,Hessen,other,8490,11377
169,Werra-Meißner – Hersfeld-Rotenburg,Hessen,other,4861,8749
170,Schwalm-Eder,Hessen,other,8284,10186
171,Marburg,Hessen,other,4697,9344
172,Lahn-Dill,Hessen,other,9287,12237
173,Gießen,Hessen,other,9748,13304
174,Fulda,Hessen,other,8037,12306
175,Main-Kinzig – Wetterau II – Schotten,Hessen,other,7154,11966
176,Hochtaunus,Hessen,other,7113,10101
177,Wetterau I,Hessen,other,8285,11384
178,Rheingau-Taunus – Limburg,Hessen,other,9564,13370
179,Wiesbaden,Hessen,other,8832,10313
180,Hanau,Hessen,other,6133,11067
181,Main-Taunus,Hessen,other,6922,11292
182,Frankfurt am Main I,Hessen,other,6974,11935
183,Frankfurt am Main II,Hessen,other,5211,13223
184,Groß-Gerau,Hessen,other,7861,11743
185,Offenbach,Hessen,other,10933,13699
186,Darmstadt,Hessen,other,10959,16121
187,Odenwald,Hessen,other,10554,15308
188,Bergstraße,Hessen,other,8369,12361
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,Thüringen,other,10401,11399
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Thüringen,other,12163,13292
191,Jena – Sömmerda – Weimarer Land I,Thüringen,other,12748,13963
192,Gotha – Ilm-Kreis,Thüringen,other,12762,13184
193,Erfurt – Weimar – Weimarer Land II,Thüringen,other,9839,14848
194,Gera – Greiz – Altenburger Land,Thüringen,other,7786,13546
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Thüringen,other,12436,14913
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Thüringen,other,10120,14485
197,Neuwied,Rheinland-Pfalz,other,13726,15334
198,Ahrweiler,Rheinland-Pfalz,other,9962,12494
199,Koblenz,Rheinland-Pfalz,other,12855,12517
200,Mosel/Rhein-Hunsrück,Rheinland-Pfalz,other,12294,12890
201,Kreuznach,Rheinland-Pfalz,other,14558,12395
202,Bitburg,Rheinland-Pfalz,other,14308,14173
203,Trier,Rheinland-Pfalz,other,14764,13306
204,Montabaur,Rheinland-Pfalz,other,14595,15160
205,Mainz,Rheinland-Pfalz,other,16030,15120
206,Worms,Rheinland-Pfalz,other,11543,14623
207,Ludwigshafen/Frankenthal,Rheinland-Pfalz,other,11351,14362
208,Neustadt – Speyer,Rheinland-Pfalz,other,14490,15727
209,Kaiserslautern,Rheinland-Pfalz,other,21245,17831
210,Pirmasens,Rheinland-Pfalz,other,13522,13298
211,Südpfalz,Rheinland-Pfalz,other,15916,15925
212,Altötting,Bayern,other,20477,24134
213,Erding – Ebersberg,Bayern,other,19473,25192
214,Freising,Bayern,other,36439,31341
215,Fürstenfeldbruck,Bayern,other,24073,25777
216,Ingolstadt,Bayern,other,25097,26596
217,München-Nord,Bayern,other,16024,15560
218,München-Ost,Bayern,other,20199,17101
219,München-Süd,Bayern,other,14553,16033
220,München-West/Mitte,Bayern,other,17935,17256
221,München-Land,Bayern,other,18387,19310
222,Rosenheim,Bayern,other,34855,33874
223,Bad Tölz-Wolfratshausen – Miesbach,Bayern,other,28303,21686
224,Starnberg – Landsberg am Lech,Bayern,other,20346,21653
225,Traunstein,Bayern,other,29682,32719
226,Weilheim,Bayern,other,22479,22348
227,Deggendorf,Bayern,other,27163,25108
228,Landshut,Bayern,other,33074,34996
229,Passau,Bayern,other,24100,23404
230,Rottal-Inn,Bayern,other,31042,27176
231,Straubing,Bayern,other,23040,25118
232,Amberg,Bayern,other,29130,27056
233,Regensburg,Bayern,other,28355,27413
234,Schwandorf,Bayern,other,31756,32771
235,Weiden,Bayern,other,22492,18948
236,Bamberg,Bayern,other,15494,17711
237,Bayreuth,Bayern,other,12421,15570
238,Coburg,Bayern,other,14833,14634
239,Hof,Bayern,other,11590,15081
240,Kulmbach,Bayern,other,15619,17985
241,Ansbach,Bayern,other,27288,27955
242,Erlangen,Bayern,other,17169,15920
243,Fürth,Bayern,other,20412,22454
244,Nürnberg-Nord,Bayern,other,11929,13630
245,Nürnberg-Süd,Bayern,other,10468,13863
246,Roth,Bayern,other,27242,24798
247,Aschaffenburg,Bayern,other,12614,15115
248,Bad Kissingen,Bayern,other,21956,23161
249,Main-Spessart,Bayern,other,20624,20638
250,Schweinfurt,Bayern,other,13893,18689
251,Würzburg,Bayern,other,19494,17557
252,Augsburg-Stadt,Bayern,other,17255,17828
253,Augsburg-Land,Bayern,other,27157,30211
254,Donau-Ries,Bayern,other,22245,24989
255,Neu-Ulm,Bayern,other,26568,27293
256,Oberallgäu,Bayern,other,27364,28073
257,Ostallgäu,Bayern,other,31364,34034
258,Stuttgart I,Baden-Württemberg,other,8225,8987
259,Stuttgart II,Baden-Württemberg,other,8908,9320
260,Böblingen,Baden-Württemberg,other,12325,13858
261,Esslingen,Baden-Württemberg,other,7874,9495
262,Nürtingen,Baden-Württemberg,other,10398,12550
263,Göppingen,Baden-Württemberg,other,9436,10531
264,Waiblingen,Baden-Württemberg,other,11197,13437
265,Ludwigsburg,Baden-Württemberg,other,11011,12631
266,Neckar-Zaber,Baden-Württemberg,other,12467,14367
267,Heilbronn,Baden-Württemberg,other,11654,14937
268,Schwäbisch Hall – Hohenlohe,Baden-Württemberg,other,12229,14658
269,Backnang – Schwäbisch Gmünd,Baden-Württemberg,other,9352,11166
270,Aalen – Heidenheim,Baden-Württemberg,other,11616,13641
271,Karlsruhe-Stadt,Baden-Württemberg,other,11653,12331
272,Karlsruhe-Land,Baden-Württemberg,other,11907,13347
273,Rastatt,Baden-Württemberg,other,9365,12072
274,Heidelberg,Baden-Württemberg,other,11449,11747
275,Mannheim,Baden-Württemberg,other,8496,11388
276,Odenwald – Tauber,Baden-Württemberg,other,13438,14068
277,Rhein-Neckar,Baden-Württemberg,other,8016,11886
278,Bruchsal – Schwetzingen,Baden-Württemberg,other,11904,13054
279,Pforzheim,Baden-Württemberg,other,14269,14947
280,Calw,Baden-Württemberg,other,12131,12976
281,Freiburg,Baden-Württemberg,other,12135,13103
282,Lörrach – Müllheim,Baden-Württemberg,other,12789,15019
283,Emmendingen – Lahr,Baden-Württemberg,other,14649,14483
284,Offenburg,Baden-Württemberg,other,15461,16317
285,Rottweil – Tuttlingen,Baden-Württemberg,other,10876,13595
286,Schwarzwald-Baar,Baden-Württemberg,other,8317,11363
287,Konstanz,Baden-Württemberg,other,7170,11964
288,Waldshut,Baden-Württemberg,other,9145,11735
289,Reutlingen,Baden-Württemberg,other,8276,11318
290,Tübingen,Baden-Württemberg,other,11576,11547
291,Ulm,Baden-Württemberg,other,12920,14890
292,Biberach,Baden-Württemberg,other,14564,14020
293,Bodensee,Baden-Württemberg,other,10204,12219
